itemName,"ingredients",typeOfItem,price,"description"
Cheese Pizza, "Cheese, Bread, Tomato Sauce", entree, 9.99, "a classic!"
Pepperoni Pizza, "Cheese, Bread, Tomato Sauce, Pepperoni", entree, 10.99, "a classic!" 
Hawaiian Pizza, "Cheese, Bread, Tomato Sauce, Pepperoni, Pineapple", entree, 11.99, "a twist on a classic!"
Vegetarian Pizza, "Cheese, Bread, Tomato Sauce, onions, sppinach, green peppers", entree, 10.99, "100% vegetarian delight"
BBQ Chicken Pizza, "Cheese, Bread, Tomato Sauce, Chicken", entree, 11.99, "chicken lover's delight"
Deluxe Pizza, "Extra Cheese, Bread, Premium Tomato Sauce", entree, 12.99, "delicious"
Buffalo Chicken Pizza, "Cheese, Bread, Tomato Sauce, Chicken", entree, 12.99, "contains premium buffalo chicken"
Pacific Veggie Pizza, "Cheese, Bread, Tomato Sauce, Onions, Anchovies", entree, 10.99, "for the fish lovers"
Wisconsin 6-Cheese Pizza, "Cheese, Bread, Tomato Sauce", entree, 12.99, "all types of cheese"
Spinach & Feta Pizza, "Cheese, Bread, Tomato Sauce, Spinach, Feta", entree, 10.99, "a customer favorite"
Pesto Margherita Pizza, "Cheese, Bread, Tomato Sauce", entree, 10.99, "a classic!"
Spicy Chicken Sausage Pizza, "Cheese, Bread, Tomato Sauce, Chicken", entree, 10.99, "a classic!"
Meat Lover's Pizza, "Cheese, Bread, Tomato Sauce, Chicken, Bacon", entree, 10.99, "chicken and bacon surprise"
Sprite, "High Fructose Corn Syrup, Lemon, Lime", drinks, 1.99, "delicious!"
Coca-Cola, "High Fructose Corn Syrup", drinks, 1.99, "delicious!"
Pepsi, "High Fructose Corn Syrup", drinks, 1.99, "delicious!"
7up, "High Fructose Corn Syrup, Lemon, Lime", drinks, 1.99, "delicious!"
Lemonade, "Lemon", drinks, 1.99, "summer vibes"
Water Bottle, "Hydrogen, Oxygen", drinks, 1.99, "a classic!"
Breadsticks, "Bread", sides, 3.99, "premium quality!"
Fries, "Potatoes", sides, 3.99, "premium quality!"
Nachos, "Bread", sides, 3.99, "premium quality!"
Pasta, "Wheat, Water, Flour", sides, 3.99, "premium quality!"
Caesar Salad, "Lettuce, Tomatoes, Crutons", sides, 3.99, "premium quality!"
Brownie, "Chocolate Chips, Flour", sides, 3.99, "premium quality!"
Ice Cream, "Milk, Sprinkles", sides, 3.99, "premium quality!"
Chocolate Cake, "Chocolate Chips, Cakemix", sides, 3.99, "premium quality!"
